posting_id,user_id,term,start_date,end_date,pop,price_per_month,gender_details,rooms_available,total_rooms,description,created_at,updated_at,address_id,city,street_name,street_num,postal_code,building_name,photo_id,url
15,15,"fall,winter,spring",2021-09-01,2022-08-23,0,550.00,co-ed,1,5,"Available: September 2021 to August 2022

- Intersection of King St. and Columbia St., Waterloo, ON N2L 3K5

- 1 furnished room (Room number#1) in a 5 bedroom house

- All utilities included: Heat, Hydro, Water, central air condition

- Free unlimited wireless internet

- House includes a large fridge, microwave

- 2, 3Pcs Washrooms

- Furnished living and dining rooms

- Professional Lawn Care and Snow Removal (you don't have to do anything)

- Walking distance to WLU and Conestoga College

- Short bus ride to Waterloo University

- Bus #31 is 1 minute away, #201 and #7 are 2 minutes away, #19 is 4 minutes away from the house

- Close to all amenities (Pizza shop and convenience store are just 3 minutes walk)

- Free laundry in the house (you don't have to pay for it!)

- Individual room lock

- No smoking, party, and sleepover

- No visitors (safety measures for Covid19)

- Rent priced below market value

- Single person (a couple not allowed)

- Students only

Note: Room numbers are labeled in the pictures. Room number#1 is available now.

The rent is way cheaper than the other houses in the area. So Hurry Up!",2021-05-27 13:06:09,2021-05-27 13:06:09,15,Waterloo,Columbia St W,34,N4U7R7,,,
16,16,"fall,winter,spring",2021-09-06,2022-08-26,0,575.00,co-ed,1,4,"1 unfurnished bedroom in 5 bed 2 bath house! House is located on Fir st and only a minute walk to campus! lease is a year lease from Sept 2021 to Step 2022. rent is 575 plus utilities. There is a laundry room in the house as well as a front and back porch!

Currently living in the house is 2 guys and 2 girls and a dog! we are all 4th years at Laurier and looking to add another friend to the house! Let me know if you interested and would like to know more!",2021-05-27 23:23:23,2021-05-27 23:23:23,16,Waterloo,Fir St,31,N8A2V8,,,
8,8,"fall,winter,spring",2021-09-06,2022-08-28,0,690.00,female,1,3,"- 4 bed 3 bath icon unit

- room that is being leased has a shared bathroom

- windowless room",2021-06-03 11:11:11,2021-06-03 11:11:11,8,Waterloo,Phillip St,330,N6F5P6,Icon,,
12,12,"fall,winter,spring",2021-09-05,2022-08-27,0,950.00,co-ed,1,1,"Currently looking for someone to take over my lease starting September 2021! This is for one room in a 4-bedroom suite at Fergus House (254 Phillip St)!

- $950/month (all utilities & wifi included!)

- private en-suite bathroom

- 3 min walk to UW, 10 min walk to WLU

- super convenient and close to the bus stops and plazas!

- fully furnished unit, fully equipped kitchen

- onsite laundry (pay per use)

- well-equipped onsite gym

- the other bedrooms are currently vacant, so you can request female only/male only/co-ed based on your preferences

- lease is min. 12 months

- virtual tour here: https://www.rez-one.ca/fergus-house/#1580326254664-72690424-3623

Message me if interested!",2021-05-31 18:06:09,2021-05-31 18:06:09,12,Waterloo,Phillip St,254,N7Y1L2,,,
20,20,spring,2022-05-10,2022-08-27,0,1000.00,female,2,5,"Looking for a female to takeover my roommate’s portion of the lease since she’s moving out. Lease ends on august 26th but can be renewed further. Price includes Wi-Fi. Utilities are paid separately

- pet friendly

- fully furnished

- move in ASAP

- walking distance to UW and WLU

- surrounded by shopping plazas

- first month free of charge",2021-05-17 12:56:32,2021-05-17 12:56:32,20,Waterloo,Phillip St,330,N7V3F3,,,
4,4,"winter,spring",2022-01-03,2022-08-23,0,1130.00,male,1,1,"One room with ensuite bathroom available in a 4 bed 4 bath apartment in King Street Towers. The location is a walking distance to both University of Waterloo and Wilfrid Laurier University. You get access to many amenities, including a 24-hour gym, game rooms, movie theatre, laundry, study room, yoga studio, pool tables, etc. Electricity, water, internet, and heat are included in the rent price.

Apartment buildings website: https://kingstreettowers.ca <- Check for more detailed descriptions and photos.",2021-06-05 17:56:46,2021-06-05 04:00:00,4,Waterloo,King St N,333,N7L1V4,,,
5,5,"fall,winter,spring",2021-08-31,2022-08-30,0,1200.00,female,2,5,"My roomate and I are 2 1st year girls looking for 2 more girls to sign a lease with us for this fall to live in a 4 bed/4 bath apartment on Spruce St. in Waterloo! Every room has an ensuite bathroom and the rent is $719/month (utilities included). The apartment comes furnished with a fridge, dishwasher, stove & microwave in the kitchen, and each room has a bed, desk, chair, nightstand and drawer cabinet; the common area has a sofa, coffee table, and dining set. There is also a study lounge on the first floor! Building is walking distance to WLU and close to bus stops that can take you to UW.",2021-06-04 12:25:49,2021-06-04 12:25:49,5,Waterloo,Spruce St,330,N4G3C2,,,
13,13,"fall,winter,spring",2021-09-01,2022-08-23,0,1243.00,co-ed,1,1,"Details:

- Fully furnished with single or double bed, mattress, desk, chair, couches and bar stools

- Utilities and WIFI included

- Rooms sizes are approximately 12' x 9'

- Coin-operated laundry facilities on site

WCRI Features & Amenities

- Fitness Centre

- 24/7 staff support

- Bookable community events space

- Community programming and activities

- Volunteer opportunities and leadership skills training

- Study lounges

- Secure bike shed

- Communal courtyard, decks and BBQs

- Directly across UW campus

- Conveniently located near local bus stop and right across UW Plaza

Please apply at www.wcri.coop/app",2021-05-28 17:06:09,2021-05-28 17:06:09,13,Waterloo,Phillip St,280,N3P3P9,,,
11,10,"fall,winter,spring",2021-09-04,2022-08-20,0,1531.00,co-ed,1,1,"1 Bedroom Apartment in the HUB

- Built in 2017

- Close to UW and WLU (5-10 min walk to both)

- All inclusive except HYDRO

- Pet friendly

- Shops and dining right below the building

- Great for students and young professionals",2021-06-01 10:33:24,2021-06-01 10:33:24,11,Waterloo,Columbia St W,130,N5N3X1,,,
18,18,"fall,winter,spring",2021-09-06,2022-08-22,0,1600.00,co-ed,2,3,"1 bedroom + den

- Fully furnished unit with large floor to ceiling windows

- One furnished bedroom + one unfurnished den

- All utilities & Internet included. Hydro extra

- Parking available

- Pet friendly

- Laundry room available (or install your own in the unit)

- 5-7 mins walk to UW and WLU

PM for more info!",2021-05-26 11:10:24,2021-05-26 11:10:24,18,Waterloo,Albert St,239,N4Z6T6,,,
