posting_id,user_id,term,start_date,end_date,pop,price_per_month,gender_details,rooms_available,total_rooms,ac,washrooms,wifi,parking,laundry,description,created_at,updated_at,address_id,city,street_name,street_num,postal_code,building_name,photo_id,url
1,1,winter,2021-04-17,2021-08-17,1,2000.00,female,5,5,1,5,0,1,common,"5 bedrooms 2 bathrooms

Full unit at 253 hazel street (not a basement unit, 2nd floor)

Laundry on site

1 parking space provided free

All utilities and expenses included

Fantastic location

2 fridges",2021-04-16 21:51:41,2021-04-16 21:51:41,7,Waterloo,Hazel St,253,N2L3N8,,1,https://storage.googleapis.com/bamboo_site_images/listings/m6f6x9uh3wqyof5dzu88.png
3,3,spring,2021-05-01,2021-09-01,14,550.00,female,1,3,1,2,1,1,common,"Looking to sublet my luxurious room for summer 2021

- 1/5 Big room available for sublet from May 2021 - August 2021.

- 2 big bathrooms in the apartment.

- Spacious room and kitchen available.

- Gym in the building, paid parking available.

- Big kitchen with all appliances, refrigerator, dishwasher, microwave, oven

- Fully furnished rooms

- Place includes a free WiFi, brand new TV, and sofa set and dining table set.

- Extremely friendly, clean and quiet flatmates.

- All girls apartment.

- Super close to University of Waterloo, short walk to WLU.

- Limited time offer!! Message now!!",2021-04-27 22:43:14,2021-04-27 22:43:14,36,Waterloo,Lester St,333,N2L3W6,,9,https://storage.googleapis.com/bamboo_site_images/listings/xbqhoor0rntjabmczci4.png
3,3,spring,2021-05-01,2021-09-01,14,550.00,female,1,3,1,2,1,1,common,"Looking to sublet my luxurious room for summer 2021

- 1/5 Big room available for sublet from May 2021 - August 2021.

- 2 big bathrooms in the apartment.

- Spacious room and kitchen available.

- Gym in the building, paid parking available.

- Big kitchen with all appliances, refrigerator, dishwasher, microwave, oven

- Fully furnished rooms

- Place includes a free WiFi, brand new TV, and sofa set and dining table set.

- Extremely friendly, clean and quiet flatmates.

- All girls apartment.

- Super close to University of Waterloo, short walk to WLU.

- Limited time offer!! Message now!!",2021-04-27 22:43:14,2021-04-27 22:43:14,36,Waterloo,Lester St,333,N2L3W6,,8,https://storage.googleapis.com/bamboo_site_images/listings/nuotxcyrzkfwkeircy0b.png
4,4,"fall,winter,spring",2021-09-01,2022-09-01,0,715.00,co-ed,5,5,1,5,0,0,same-floor,"5 Bedroom Suites Available for September 1st. All large bedrooms are fully furnished with private ensuite bathrooms. In-suite Laundry included. Suites have full size Kitchens w/grantie counters, t.v., air conditioning and balconies. Free Ultra High Speed Fibre Internet. Amenities include Fitness Gym, Rec Room, Social Lounge, Study Room and Bike Storage. Heat, water, internet, building maintenance, and amenities included. Hydro extra.

Steps way from Wilfrid Laurier University, University of Waterloo in Conestoga College. Walking distance to Sobeys grocery store, Walmart, restaurants, coffee shops, stores and entertainment.

Ask about the promotions for September 1st.",2021-07-01 20:19:53,2021-07-01 20:19:53,6,Waterloo,Marshall St,64,N2J2T4,,20,https://storage.googleapis.com/bamboo_site_images/listings/1625190028156.jpg
4,4,"fall,winter,spring",2021-09-01,2022-09-01,0,715.00,co-ed,5,5,1,5,0,0,same-floor,"5 Bedroom Suites Available for September 1st. All large bedrooms are fully furnished with private ensuite bathrooms. In-suite Laundry included. Suites have full size Kitchens w/grantie counters, t.v., air conditioning and balconies. Free Ultra High Speed Fibre Internet. Amenities include Fitness Gym, Rec Room, Social Lounge, Study Room and Bike Storage. Heat, water, internet, building maintenance, and amenities included. Hydro extra.

Steps way from Wilfrid Laurier University, University of Waterloo in Conestoga College. Walking distance to Sobeys grocery store, Walmart, restaurants, coffee shops, stores and entertainment.

Ask about the promotions for September 1st.",2021-07-01 20:19:53,2021-07-01 20:19:53,6,Waterloo,Marshall St,64,N2J2T4,,18,https://storage.googleapis.com/bamboo_site_images/listings/1625190028147.jpg
4,4,"fall,winter,spring",2021-09-01,2022-09-01,0,715.00,co-ed,5,5,1,5,0,0,same-floor,"5 Bedroom Suites Available for September 1st. All large bedrooms are fully furnished with private ensuite bathrooms. In-suite Laundry included. Suites have full size Kitchens w/grantie counters, t.v., air conditioning and balconies. Free Ultra High Speed Fibre Internet. Amenities include Fitness Gym, Rec Room, Social Lounge, Study Room and Bike Storage. Heat, water, internet, building maintenance, and amenities included. Hydro extra.

Steps way from Wilfrid Laurier University, University of Waterloo in Conestoga College. Walking distance to Sobeys grocery store, Walmart, restaurants, coffee shops, stores and entertainment.

Ask about the promotions for September 1st.",2021-07-01 20:19:53,2021-07-01 20:19:53,6,Waterloo,Marshall St,64,N2J2T4,,17,https://storage.googleapis.com/bamboo_site_images/listings/1625190028146.jpg
4,4,"fall,winter,spring",2021-09-01,2022-09-01,0,715.00,co-ed,5,5,1,5,0,0,same-floor,"5 Bedroom Suites Available for September 1st. All large bedrooms are fully furnished with private ensuite bathrooms. In-suite Laundry included. Suites have full size Kitchens w/grantie counters, t.v., air conditioning and balconies. Free Ultra High Speed Fibre Internet. Amenities include Fitness Gym, Rec Room, Social Lounge, Study Room and Bike Storage. Heat, water, internet, building maintenance, and amenities included. Hydro extra.

Steps way from Wilfrid Laurier University, University of Waterloo in Conestoga College. Walking distance to Sobeys grocery store, Walmart, restaurants, coffee shops, stores and entertainment.

Ask about the promotions for September 1st.",2021-07-01 20:19:53,2021-07-01 20:19:53,6,Waterloo,Marshall St,64,N2J2T4,,16,https://storage.googleapis.com/bamboo_site_images/listings/1625190028146.jpg
4,4,"fall,winter,spring",2021-09-01,2022-09-01,0,715.00,co-ed,5,5,1,5,0,0,same-floor,"5 Bedroom Suites Available for September 1st. All large bedrooms are fully furnished with private ensuite bathrooms. In-suite Laundry included. Suites have full size Kitchens w/grantie counters, t.v., air conditioning and balconies. Free Ultra High Speed Fibre Internet. Amenities include Fitness Gym, Rec Room, Social Lounge, Study Room and Bike Storage. Heat, water, internet, building maintenance, and amenities included. Hydro extra.

Steps way from Wilfrid Laurier University, University of Waterloo in Conestoga College. Walking distance to Sobeys grocery store, Walmart, restaurants, coffee shops, stores and entertainment.

Ask about the promotions for September 1st.",2021-07-01 20:19:53,2021-07-01 20:19:53,6,Waterloo,Marshall St,64,N2J2T4,,15,https://storage.googleapis.com/bamboo_site_images/listings/1625190028145.jpg
4,4,"fall,winter,spring",2021-09-01,2022-09-01,0,715.00,co-ed,5,5,1,5,0,0,same-floor,"5 Bedroom Suites Available for September 1st. All large bedrooms are fully furnished with private ensuite bathrooms. In-suite Laundry included. Suites have full size Kitchens w/grantie counters, t.v., air conditioning and balconies. Free Ultra High Speed Fibre Internet. Amenities include Fitness Gym, Rec Room, Social Lounge, Study Room and Bike Storage. Heat, water, internet, building maintenance, and amenities included. Hydro extra.

Steps way from Wilfrid Laurier University, University of Waterloo in Conestoga College. Walking distance to Sobeys grocery store, Walmart, restaurants, coffee shops, stores and entertainment.

Ask about the promotions for September 1st.",2021-07-01 20:19:53,2021-07-01 20:19:53,6,Waterloo,Marshall St,64,N2J2T4,,14,https://storage.googleapis.com/bamboo_site_images/listings/1625190028144.jpg
4,4,"fall,winter,spring",2021-09-01,2022-09-01,0,715.00,co-ed,5,5,1,5,0,0,same-floor,"5 Bedroom Suites Available for September 1st. All large bedrooms are fully furnished with private ensuite bathrooms. In-suite Laundry included. Suites have full size Kitchens w/grantie counters, t.v., air conditioning and balconies. Free Ultra High Speed Fibre Internet. Amenities include Fitness Gym, Rec Room, Social Lounge, Study Room and Bike Storage. Heat, water, internet, building maintenance, and amenities included. Hydro extra.

Steps way from Wilfrid Laurier University, University of Waterloo in Conestoga College. Walking distance to Sobeys grocery store, Walmart, restaurants, coffee shops, stores and entertainment.

Ask about the promotions for September 1st.",2021-07-01 20:19:53,2021-07-01 20:19:53,6,Waterloo,Marshall St,64,N2J2T4,,13,https://storage.googleapis.com/bamboo_site_images/listings/1625190028143.jpg
