posting_id,user_id,term,start_date,end_date,pop,price_per_month,gender_details,rooms_available,total_rooms,description,created_at,updated_at,address_id,city,street_name,street_num,postal_code,building_name,photo_id,url
3,1,"fall,winter,spring",2021-09-05,2022-08-28,0,2300.00,co-ed,3,3,"Some say that Waterloo is the next Silicon Valley. What better place to live than right near the education institutions than 250 Lester Street? Designed to offer residents ease of access to Waterloo’s University District, 250 Lester Street offers innovative luxury living. Conveniently located just steps away from all of the action University Avenue West has to offer, this stunning building stands out among the surrounding properties and pushes the bounds of luxury living in Waterloo.

This building offers a wide array of suite styles ranging from 2 to 3 bedroom suites. Explore our furniture package and plan in advance before moving in! With only a 5 minute walk to the nearest grocery store, focus your time on your success by occupying a unit in this stress-free living experience.

Property Features

○ Includes water, gas and high speed internet

○ Short walk to amenities and the universities

○ Ensuite bathrooms per plan

○ Walk-in closets per plan

○ High-end fixtures and finishes

○ Large bedrooms

○ Balconies per plan

○ On-site laundry

○ On-site tenant parking

○ Professional landscaping & snow removal

○ Prime location – making subletting easy and convenient access to bus and LRT routes

○ Location just steps away from many amenities

○ Bike storage

○ Fashionably furnished suites

WILFRID LAURIER UNIVERSITY

○ 900 meters from your front door (11 min. walk to campus)

UNIVERSITY OF WATERLOO

○ 850 meters from your front door (11 min. walk to campus)

CONESTOGA COLLEGE - WATERLOO CAMPUS

○ 1.7 kilometers from your front door (11 min. bus ride)

UPTOWN WATERLOO

○ 1.9 kilometers from your front door (11 min. walk or 10 min. bus ride)

CONESTOGA MALL

○ 3.2 kilometers from your front door (22 min. walk or 18 min. bus ride)

COMMUNITECH

○ 4.3 kilometers from your front door (25 min. bus ride)

NEARBY AMENITIES

○ 190 meters to Campus Court Plaza

○ 400 meters to University Shops Plaza

○ 950 meters to Waterloo Park

○ 4.8 kilometers to Laurel Creek Reservoir

○ 15.8 kilometers to Region of Waterloo International Airport

○ 95.3 kilometers to Toronto Pearson International Airport

Want to learn more? Contact our superb leasing team at leasing@accommod8u.com.

Virtual tours and videos available. In person tours done by appointment only.",2021-06-07 16:23:59,2021-06-07 16:23:59,3,Waterloo,Lester St,250,N2L5F8,,,
1,1,"fall,winter,spring",2021-09-03,2022-08-31,0,1660.00,co-ed,2,2,"This bold and vibrant property is designed to offer residents the best living experience in comfort and luxury. In the heart of Waterloo’s University District, 246 Albert Street is the perfect living opportunity just steps away from all the action that University Avenue West has to offer including cultured cuisine, parks, and a variety of shopping. This contemporary property also features an interlocking panel system that provides privacy and safety for residents.

If you think that's it, think again! 246 Albert Street offers quality living at affordable prices. Our suites come fully furnished with all utilities, with the exception of hydro, included! Internet comes free of charge with a built-in router in all units. Our suites have sold out time and time again each year so secure yours today!

PROPERTY FEATURE

• Includes water, gas, and high-speed internet

• Fashionably furnished suites

• Community rooftop terrace

• Most suites enjoy balconies

• Property landscaping, cleaning and garbage removal

• Parking and bicycle storage

• Energy efficient, low cost LED lighting

• Walk-in closets per plan

• Floor to ceiling windows in many suites

• On-site laundry

• Ensuite bathrooms per plan

• Within walking distance of local amenities

• Close to transportation services

WILFRID LAURIER UNIVERSITY

• 42 meters from your front door (1 min. walk to campus)

UNIVERSITY OF WATERLOO

• 720 meters from your front door (9 min. walk to campus)

CONESTOGA COLLEGE - WATERLOO CAMPUS

• 1.2 kilometers from your front door (9 min. bus ride)

UPTOWN WATERLOO

• 1.4 kilometers from your front door (18 min. walk or 8 min. bus ride)

CONESTOGA MALL

• 3.0 kilometers from your front door (38 min. walk or 20 min. bus ride)

COMMUNITECH

• 4.2 kilometers from your front door (3 min. walk to the high-tech park)

NEARBY AMENITIES

• 240 meters to Campus Court Plaza

• 470 meters to University Shops Plaza

• 720 meters to Waterloo Park

• 3.7 kilometers to Laurel Creek Reservoir

• 15.9 kilometers to Region of Waterloo International Airport

• 93.4 kilometers to Toronto Pearson International Airport

Want to learn more? Contact our superb leasing team at leasing@accommod8u.com.

Virtual tours and videos available. In person tours done by appointment only.",2021-06-07 14:20:30,2021-06-07 14:20:30,1,Waterloo,Albert St,246,N2J2J1,,,
2,1,"fall,winter,spring",2021-09-02,2022-08-30,0,1640.00,co-ed,2,2,"ONE MONTH RENT FREE YOU SAY?!

Orange is back in season again folks! Inviting you into the neighborhood, 228 Albert Street is the pinnacle of Waterloo rental apartment properties. With its quality suite style plus floor to ceiling windows (per plan), its perfect for entertaining with a view. The Waterloo skyline has never looked better coming from a suite at 228 Albert Street.

With its perfect location, steps from WLU + minutes to UW, your friends will visit time and time again. Not to mention our sweets Perks Program. Spend your days excelling at school and having fun with your friends and family at 228 Albert Street.

PROPERTY FEATURE

• Includes water, gas, and high-speed internet

• Fashionably furnished suites

• Community rooftop terrace

• Most suites enjoy balconies

• Parking and bicycle storage

• Energy efficient, low cost LED lighting

• Walk-in closets per plan

• On-site laundry

• Ensuite bathrooms per plan

• Within walking distance of local amenities

• Close to transportation services

WILFRID LAURIER UNIVERSITY

• 42 meters from your front door (1 min. walk to campus)

UNIVERSITY OF WATERLOO

• 720 meters from your front door (9 min. walk to campus)

CONESTOGA COLLEGE - WATERLOO CAMPUS

• 1.2 kilometers from your front door (9 min. bus ride)

UPTOWN WATERLOO

• 1.4 kilometers from your front door (18 min. walk or 8 min. bus ride)

CONESTOGA MALL

• 3.0 kilometers from your front door (38 min. walk or 20 min. bus ride)

COMMUNITECH

• 4.2 kilometers from your front door (3 min. walk to the high-tech park)

NEARBY AMENITIES

• 240 meters to Campus Court Plaza

• 470 meters to University Shops Plaza

• 720 meters to Waterloo Park

• 3.7 kilometers to Laurel Creek Reservoir

• 15.9 kilometers to Region of Waterloo International Airport

• 93.4 kilometers to Toronto Pearson International Airport

Want to learn more? Contact our superb leasing team at leasing@accommod8u.com.

Virtual tours and videos available. In person tours done by appointment only.",2021-06-07 13:20:27,2021-06-07 13:20:27,2,Waterloo,Albert St,228,N0P5A8,,,
4,4,"winter,spring",2022-01-03,2022-08-23,0,1130.00,male,1,1,"One room with ensuite bathroom available in a 4 bed 4 bath apartment in King Street Towers. The location is a walking distance to both University of Waterloo and Wilfrid Laurier University. You get access to many amenities, including a 24-hour gym, game rooms, movie theatre, laundry, study room, yoga studio, pool tables, etc. Electricity, water, internet, and heat are included in the rent price.

Apartment buildings website: https://kingstreettowers.ca <- Check for more detailed descriptions and photos.",2021-06-05 17:56:46,2021-06-05 04:00:00,4,Waterloo,King St N,333,N7L1V4,,,
5,5,"fall,winter,spring",2021-08-31,2022-08-30,0,1200.00,female,2,5,"My roomate and I are 2 1st year girls looking for 2 more girls to sign a lease with us for this fall to live in a 4 bed/4 bath apartment on Spruce St. in Waterloo! Every room has an ensuite bathroom and the rent is $719/month (utilities included). The apartment comes furnished with a fridge, dishwasher, stove & microwave in the kitchen, and each room has a bed, desk, chair, nightstand and drawer cabinet; the common area has a sofa, coffee table, and dining set. There is also a study lounge on the first floor! Building is walking distance to WLU and close to bus stops that can take you to UW.",2021-06-04 12:25:49,2021-06-04 12:25:49,5,Waterloo,Spruce St,330,N4G3C2,,,
6,6,"fall,winter,spring",2021-09-01,2022-08-31,0,2200.00,co-ed,3,3,"- fully furnished

- wifi, gas, water and heating and cooling included

- in building laundry",2021-06-04 11:45:20,2021-06-04 04:00:00,6,Waterloo,Columbia St W,130,N2S8P2,,,
8,8,"fall,winter,spring",2021-09-06,2022-08-28,0,690.00,female,1,3,"- 4 bed 3 bath icon unit

- room that is being leased has a shared bathroom

- windowless room",2021-06-03 11:11:11,2021-06-03 11:11:11,8,Waterloo,Phillip St,330,N6F5P6,Icon,,
7,7,fall,2021-09-01,2021-12-30,0,500.00,female,1,5,"Looking for a female student to sublet my room (16th floor) at Fergus House (254 Phillip Street) from July 1st to August 26. This is for one room in a 4-bedroom suite.

*Rent is $500/month

*Ensuite washroom for each room

*Kitchen fully equipped with energy-saving appliances including a full-size fridge, microwave, toaster oven, stovetop, and dishwasher

*Laundry facilities, study spaces, and gym are provided

*All utilities are included

*5-min walk to UW

Message for more details!",2021-06-03 10:32:15,2021-06-03 10:32:15,7,Waterloo,Phillip St,254,N3C9P9,,,
9,9,fall,2021-09-05,2021-12-28,0,800.00,male,1,2,"UW/WLU student entering 2nd year looking for a roommate in 2 bed 1 bath 1 powder condo. Fully furnished, including in-suite laundry, Wi-Fi, utilities, and a rooftop patio. Optional parking for $150/month. 4,8, or yearly lease available. Tour;

https://my.matterport.com/show/?m=6r8wBsisqjx",2021-06-02 16:20:58,2021-06-02 16:20:58,9,Waterloo,Albert St,253,N9T3Q6,,,
10,10,"fall,winter,spring",2021-09-03,2022-08-27,0,1852.00,co-ed,2,2,"- 2 Bed @ 131 Columbia street west

- Extremely close to UW and WLU (less then 5 mins to UW and WLU)

- All inclusive except HYDRO

- Pet friendly

- School, dining and entertainment steps away!!

- Price negotiable! Contact me for more info!",2021-06-01 13:15:59,2021-06-01 13:15:59,10,Waterloo,University Ave W,131,N4V1M0,,,
